Sport,Year,Category,Title
FOOTBALL,1950,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1951,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1961,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1962,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1963,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1968,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1972,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1978,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1981,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1988,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1989,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1990,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1991,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1993,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1995,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1996,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1997,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1998,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2001,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2004,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2005,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2006,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2007,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2008,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2009,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2010,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2011,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2012,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2014,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2015,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2016,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2017,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2018,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2019,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2020,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2021,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2022,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2023,LEAGUE,LEAGUE CHAMPION
FOOTBALL,2024,LEAGUE,LEAGUE CHAMPION
FOOTBALL,1968,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1972,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1978,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1983,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1989,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1998,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2004,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2006,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2008,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2010,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2011,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2012,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2014,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2015,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2019,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2020,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2022,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,2024,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FOOTBALL,1998,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2004,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2006,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2008,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2011,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2015,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,2022,LONG ISLAND,LONG ISLAND CHAMPION
FOOTBALL,1972,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2004,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2011,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2020,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2022,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,2024,RUTGERS TROPHY,RUTGERS TROPHY WINNERS
FOOTBALL,1968,UNDEFEATED,7-0-1
FOOTBALL,1972,UNDEFEATED,9-0
FOOTBALL,2004,UNDEFEATED,11-0
FOOTBALL,2011,UNDEFEATED,12-0
FOOTBALL,2015,UNDEFEATED,12-0
FOOTBALL,2020,UNDEFEATED,7-0
FOOTBALL,2022,UNDEFEATED,12-0
CHEER - COMPETITIVE,2017,LEAGUE,LEAGUE CHAMPION
CHEER - COMPETITIVE,2018,LEAGUE,LEAGUE CHAMPION
CHEER - COMPETITIVE,2009,LONG ISLAND,LONG ISLAND CHAMPION
CHEER - COMPETITIVE,0,OTHER,LI & NATIONAL SEMI-FINALIST
CHEER - GAMEDAY,2023,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CHEER - GAMEDAY,0,STATE,3RD IN NYS (CLASS B)
GOLF - BOYS,1963,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1970,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1972,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1973,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1974,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1975,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1976,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1977,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1978,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1979,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1980,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1981,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1982,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1983,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1984,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1985,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1986,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1987,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1988,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1989,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1990,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1991,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1992,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1993,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1994,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1995,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1996,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1997,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1998,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1999,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2000,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2001,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2002,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2004,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2005,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2006,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2007,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2008,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2011,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2012,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2013,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2014,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2015,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2016,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2017,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2018,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2020,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2021,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,2022,LEAGUE,LEAGUE CHAMPION
GOLF - BOYS,1963,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1974,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1981,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1982,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1991,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1996,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1997,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1998,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,2014,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
GOLF - BOYS,1992,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,1996,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,1997,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,2007,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,2008,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,2014,LONG ISLAND,LONG ISLAND CHAMPION
GOLF - BOYS,1963,STATE,STATE CHAMPION
GOLF - BOYS,1974,STATE,STATE CHAMPION
CROSS COUNTRY - GIRLS,1987,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,1991,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,1992,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,1997,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,1998,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2005,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2006,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2009,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2011,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2020,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2021,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2022,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2023,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,2024,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - GIRLS,1991,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2005,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2006,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2020,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2021,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2022,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2023,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2024,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - GIRLS,2022,STATE,STATE CHAMPION
CROSS COUNTRY - GIRLS,2023,STATE,STATE CHAMPION
CROSS COUNTRY - BOYS,1964,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1965,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1966,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1968,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1969,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1970,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1971,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1972,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1975,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1983,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1985,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1986,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1992,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1995,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1996,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1998,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1999,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,2000,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,2001,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,2004,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,2005,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,2006,LEAGUE,LEAGUE CHAMPION
CROSS COUNTRY - BOYS,1965,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,1968,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,1970,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,1971,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,1999,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,2000,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,2004,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,2005,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,2006,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
CROSS COUNTRY - BOYS,1971,STATE,STATE CHAMPION
CROSS COUNTRY - BOYS,2000,STATE,STATE CHAMPION
FIELD HOCKEY,1979,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,1980,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,1981,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,1986,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,1987,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,1999,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2000,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2001,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2002,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2003,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2004,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2005,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2006,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2007,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2008,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2009,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2010,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2011,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2012,LEAGUE,LEAGUE CHAMPION
FIELD HOCKEY,2006,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
FIELD HOCKEY,2011,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - GIRLS,1993,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,1998,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,1999,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2003,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2004,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2008,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2010,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2011,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2012,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2013,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,2014,LEAGUE,LEAGUE CHAMPION
SOCCER - GIRLS,1998,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - GIRLS,1999,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - GIRLS,2010,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - GIRLS,2013,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - BOYS,1960,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,1972,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,1979,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,1999,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2000,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2001,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2004,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2005,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2006,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2007,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2010,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2011,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2012,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2013,LEAGUE,LEAGUE CHAMPION
SOCCER - BOYS,2001,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - BOYS,2007,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - BOYS,2010,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - BOYS,2013,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
SOCCER - BOYS,2001,LONG ISLAND,LONG ISLAND CHAMPION
SOCCER - BOYS,2007,LONG ISLAND,LONG ISLAND CHAMPION
SOCCER - BOYS,2010,LONG ISLAND,LONG ISLAND CHAMPION
SOCCER - BOYS,2010,STATE,STATE CHAMPION
VOLLEYBALL - GIRLS,1977,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,1979,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,1980,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2013,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2017,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2018,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2021,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2022,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2024,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - GIRLS,2022,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
VOLLEYBALL - GIRLS,2023,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
VOLLEYBALL - GIRLS,2024,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
VOLLEYBALL - GIRLS,2024,LONG ISLAND,LONG ISLAND CHAMPION
VOLLEYBALL - GIRLS,0,STATE,3RD IN NYS (CLASS A)
VOLLEYBALL - GIRLS,0,OTHER,CLASS A SOUTHEAST REGIONAL CHAMPIONS
VOLLEYBALL - BOYS,2011,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2013,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2015,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2017,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2013,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
TENNIS - GIRLS,1979,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1985,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1986,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1988,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1991,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1994,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1995,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1996,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1997,LEAGUE,LEAGUE CHAMPION
